page,impressions,clicks,ctr,position,top_query,top_query_impressions,top_query_position,bucket
https://simplyenak.com/tours/locations/food-tours-penang,1328,35,2.64,9.4,simply enak,127,5.1,CLICKS_LEAK
https://simplyenak.com/stories/eating-durians,17943,30,0.17,12.9,durian,774,9.7,CLICKS_LEAK
https://simplyenak.com/stories/port-klang-to-kuala-lumpur,1541,18,1.17,8.1,port klang to kuala lumpur,220,7.2,CLICKS_LEAK
https://simplyenak.com/tours,627,16,2.55,13.2,simply enak,183,1.4,CLICKS_LEAK
https://simplyenak.com/tours/locations/food-tours-kuala-lumpur,929,15,1.61,13.5,food tour kuala lumpur,113,17.1,CLICKS_LEAK
https://simplyenak.com/stories/do-malaysians-speak-english,5651,8,0.14,7.5,malaysia,602,3.7,CLICKS_LEAK
https://simplyenak.com/stories/faq-when-is-durian-season-in-malaysia,514,7,1.36,7.3,is it durian season now in malaysia,34,7.5,CLICKS_LEAK
https://simplyenak.com/tours/penang-street-food,600,7,1.17,9.2,simply enak,180,1.1,CLICKS_LEAK
https://simplyenak.com/fr/stories/malaysian-kueh-sweets-guide,352,6,1.7,7.4,kueh in english,14,7.2,CLICKS_LEAK
https://simplyenak.com/pt/stories/durian-guide-2026,1260,6,0.48,10.5,durian season in malaysia 2026,34,3.6,CLICKS_LEAK
https://simplyenak.com/tours/georgetown-night-food-durian,531,6,1.13,8.2,durian georgetown,14,6.6,CLICKS_LEAK
https://simplyenak.com/de/stories/traditional-pahang-food/,232,5,2.16,6.8,pahang food,17,5,CLICKS_LEAK
https://simplyenak.com/stories/dog-meat,566,5,0.88,8.2,do they eat dogs in malaysia,13,2.7,CLICKS_LEAK
https://simplyenak.com/stories/durian-guide-2026,2507,4,0.16,14.7,malaysia durian season 2026,50,6.1,CLICKS_LEAK
https://simplyenak.com/tours/locations/kampung-baru-food-tour,627,4,0.64,8.9,kampung baru street food,187,8.1,CLICKS_LEAK
https://simplyenak.com/about,278,3,1.08,3.4,simply enak,143,1.0,TITLE_FIX
https://simplyenak.com/ms/stories/malaysia-durian-guide,286,3,1.05,11.7,when is durian season in malaysia,30,5.6,CLICKS_LEAK
https://simplyenak.com/tours/kuala-lumpur-street-food,671,2,0.3,11.5,simply enak,136,1.0,CLICKS_LEAK
https://simplyenak.com/contact,277,1,0.36,2.7,simply enak,148,1.0,TITLE_FIX
https://simplyenak.com/stories/chinese-dumpling-festival,368,1,0.27,11.2,bak chang festival,11,13.8,CLICKS_LEAK
https://simplyenak.com/de/stories/malaysia-durian-guide,229,0,0,17.3,common mistakes when judging durian freshness through its stem -filetype:txt -filetype:pdf -filetype:epub -filetype:doc -filetype:docx -filetype:xls -filetype:xlsx -filetype:ppt -filetype:csv -site:youtube.com -site:tiktok.com -site:instagram.com -site:ebay.com -site:jd.com -site:amazon.com -site:iqiyi.com -site:bilibili.com -site:t.me -site:douyin.com -site:douban.com -site:apple.com -site:reddit.com -site:researchgate.net -site:academia.edu -site:dokumen.pub -site:en.wikipedia.org -site:quora.com -site:sciencedirect.com -site:cambridge.org -site:mdpi.com -site:link.springer.com -site:zhuanlan.zhihu.com -site:journals.sagepub.com -site:imdb.com -site:tandfonline.com -site:onlinelibrary.wiley.com -site:brill.com -site:getyourguide.com -site:academic.oup.com -site:www.emerald.com -site:eresources.nlb.gov.sg -site:www.govinfo.gov,8,15.6,CLICKS_LEAK
https://simplyenak.com/directions,526,0,0,15.6,simply enak kangar jaya,189,10.3,CLICKS_LEAK
https://simplyenak.com/es/stories/malaysia-durian-guide,468,0,0,15.5,malaysian durian,8,7.4,CLICKS_LEAK
https://simplyenak.com/nl/stories/durian-guide-2026,370,0,0,20.1,common mistakes when judging durian ripeness and how to avoid them -filetype:txt -filetype:pdf -filetype:epub -filetype:doc -filetype:docx -filetype:xls -filetype:xlsx -filetype:ppt -filetype:csv -site:youtube.com -site:tiktok.com -site:instagram.com -site:ebay.com -site:jd.com -site:amazon.com -site:iqiyi.com -site:bilibili.com -site:t.me -site:douyin.com -site:douban.com -site:apple.com -site:reddit.com -site:researchgate.net -site:academia.edu -site:dokumen.pub -site:en.wikipedia.org -site:quora.com -site:sciencedirect.com -site:cambridge.org -site:mdpi.com -site:link.springer.com -site:zhuanlan.zhihu.com -site:journals.sagepub.com -site:imdb.com -site:tandfonline.com -site:onlinelibrary.wiley.com -site:brill.com -site:getyourguide.com -site:academic.oup.com -site:www.emerald.com -site:eresources.nlb.gov.sg -site:www.govinfo.gov,12,19.7,CONTENT_GAP
https://simplyenak.com/pt/stories/malaysia-durian-guide,282,0,0,19.8,durian malaysia,6,29.8,CLICKS_LEAK
https://simplyenak.com/stories/11-foods-to-try-during-hari-raya,250,0,0,17.7,raya culture,13,21.8,CLICKS_LEAK
https://simplyenak.com/stories/eating-durians/,9332,0,0,18.4,durian,251,10.7,CLICKS_LEAK
https://simplyenak.com/stories/malaysia-durian-guide,347,0,0,16.5,durian malaysia,19,34.9,CLICKS_LEAK
https://simplyenak.com/stories/must-try-malaysian-street-food,304,0,0,11.3,street food,35,9.7,CLICKS_LEAK
