query,page,position,impressions,clicks,ctr,opportunity_score
durian,https://simplyenak.com/stories/eating-durians,10.0,855,1,0.12,85.7
simply enak kangar jaya,https://simplyenak.com/directions,9.1,240,0,0,26.3
durian season,https://simplyenak.com/stories/eating-durians,6.6,148,0,0,22.6
durian season in malaysia,https://simplyenak.com/stories/eating-durians,8.9,195,1,0.51,21.9
do malaysians speak english,https://simplyenak.com/stories/do-malaysians-speak-english,7.9,127,0,0,16.0
durian,https://simplyenak.com/eating-durians/,8.6,128,1,0.78,14.8
penang food tours,https://simplyenak.com/,9.9,143,1,0.7,14.3
does malaysia speak english,https://simplyenak.com/stories/do-malaysians-speak-english,8.3,115,0,0,13.8
simply enak kangar jaya,https://simplyenak.com/ms,8.3,104,0,0,12.5
durian malaysia,https://simplyenak.com/stories/eating-durians,12.4,151,1,0.66,12.1
