query,position,impressions,clicks,ctr,search_volume,keyword_difficulty,cpc,intent,opportunity_score
durian,9.9,880,1,0.11,0,,,unknown,88.8
simply enak kangar jaya,8.4,319,0,0,0,,,unknown,38.0
durian season in malaysia,8.7,228,1,0.44,0,,,unknown,26.1
durian season,6.5,154,0,0,0,,,unknown,23.7
penang food tours,8.8,177,1,0.56,0,,,unknown,20.0
do malaysians speak english,8.1,146,0,0,0,,,unknown,18.0
simply enak @ kangar jaya reviews,6.8,111,1,0.9,0,,,unknown,16.2
malaysian durian,9.1,147,0,0,0,,,unknown,16.2
port klang to kuala lumpur,7.5,121,1,0.83,0,,,unknown,16.0
does malaysia speak english,8.2,131,0,0,0,,,unknown,16.0
kampung baru street food,7.8,125,0,0,0,,,unknown,16.0
malaysia food tours,14.3,228,0,0,0,,,unknown,15.9
durian malaysia,11.8,161,1,0.62,0,,,unknown,13.6
food tour kuala lumpur,16.9,220,1,0.45,0,,,unknown,13.0
kampung baru food,9.0,117,0,0,0,,,unknown,13.0
simply enak @ kangar jaya menu,8.5,106,0,0,0,,,unknown,12.5
do they speak english in malaysia,8.4,103,0,0,0,,,unknown,12.3
