query,class,impressions_total,std_ratio,pre_n_days,pre_mean_pos,pre_std_pos,pre_mean_abs_dod,pre_pct_jumps_ge3,pre_clicks,post_n_days,post_mean_pos,post_std_pos,post_mean_abs_dod,post_pct_jumps_ge3,post_clicks
durian,informational,7667,1.88,21,9.22,1.34,1.36,5.3,4,79,9.34,2.52,1.7,12.5,6
food tour kuala lumpur,tour_geo,1889,1.1,72,11.81,5.12,3.64,43.5,6,99,16.58,5.65,4.3,46.8,3
malaysia food tours,tour_nogeo,1824,0.33,86,14.9,6.86,2.53,31.7,0,91,14.25,2.26,1.4,9.6,1
durian malaysia,informational,1165,0.71,44,25.11,17.66,5.51,59.0,2,99,17.97,12.52,4.13,46.7,6
penang food tours,tour_geo,1136,1.23,79,8.32,4.64,3.11,42.5,2,94,10.81,5.72,4.05,37.2,3
penang food tour,tour_geo,1119,1.46,71,7.58,6.72,7.09,67.9,8,97,11.58,9.79,10.55,72.2,10
food,other,1084,,,,,,,,20,11.58,3.02,1.01,6.7,0
durian season in malaysia,informational,1000,0.42,21,9.01,5.37,1.87,16.7,2,75,7.62,2.26,1.57,12.2,3
simply enak kangar jaya,branded,902,,,,,,,,59,8.93,1.88,0.67,1.9,12
kampung baru street food,informational,871,,,,,,,,48,7.46,1.13,0.61,0.0,2
simply enak,branded,857,1.8,24,1.02,0.1,0,0.0,57,91,1.07,0.18,0.11,0.0,230
malaysia,other,835,,,,,,,,51,3.92,0.56,0.48,2.2,3
food festivals near me,other,787,0.21,18,11.04,5.9,0.64,0.0,0,54,1.75,1.23,0.6,4.2,0
port klang to kuala lumpur,other,722,0.14,19,15.08,9.4,1.98,18.2,0,57,7.03,1.3,0.95,5.5,7
dumpling festival,other,653,3.22,28,10.66,2.32,1.7,8.7,0,14,12.22,7.46,0.65,0.0,0
durian season,informational,619,0.27,20,13.71,7.92,5.49,64.7,1,53,7.19,2.15,1.76,15.6,1
malaysian durian,informational,592,0.2,18,11.64,9.82,2.72,23.1,2,69,9.21,1.98,1.73,17.7,0
durian season malaysia,informational,584,0.61,23,11.15,10.01,2.84,31.6,0,57,7.82,6.06,1.91,18.2,4
do malaysians speak english,other,546,0.44,10,6.07,2.79,2.0,25.0,1,57,7.61,1.23,0.97,3.8,1
food tour penang,tour_geo,527,2.72,60,2.92,2.67,1.83,25.6,9,66,5.74,7.26,4.29,45.2,15
malaysia durian,informational,501,0.25,23,10.32,7.18,1.37,5.3,0,55,7.91,1.78,1.53,20.8,1
bak chang festival,other,498,0.43,30,9.66,6.15,4.44,40.0,1,23,9.5,2.62,0.83,0.0,1
malaysian street food,informational,483,1.14,22,18.37,7.9,6.3,90.0,0,49,12.78,8.99,2.25,17.9,2
street food,informational,478,0.7,24,28.89,8.41,7.5,60.0,0,36,11.95,5.88,1.69,11.8,0
does malaysia speak english,other,473,0.34,10,6.02,4.13,2.1,25.0,0,52,8.04,1.41,1.08,8.3,0
when is durian season in malaysia,informational,404,0.27,18,9.85,10.08,2.09,21.4,1,60,6.87,2.73,1.49,10.2,0
kampung baru food,other,402,,,,,,,,49,8.28,1.01,0.84,0.0,1
food tour penang george town,tour_geo,356,0.92,34,9.23,4.18,2.77,36.4,0,65,9.91,3.85,2.18,21.7,0
malaysia durian season,informational,344,0.22,14,9.7,9.98,1.62,11.1,0,51,6.63,2.22,1.9,17.1,1
klang to kl,other,337,,,,,,,,46,9.33,0.68,0.63,0.0,0
malaysia street food,informational,320,,,,,,,,44,11.5,4.71,1.46,5.9,0
durian in malaysia,informational,299,0.93,13,6.13,2.98,2.43,42.9,1,56,7.78,2.76,1.93,17.1,3
kuala lumpur,other,299,,,,,,,,31,3.08,0.26,0.28,0.0,1
kuala lumpur food tour,tour_geo,282,0.81,29,9.78,10.0,17.91,50.0,0,52,14.14,8.1,9.5,70.0,4
enak,other,256,0.13,37,12.59,12.08,7.32,72.2,1,27,9.7,1.62,2.03,17.6,0
do they speak english in malaysia,other,229,,,,,,,,39,7.87,2.11,1.08,3.2,0
gurney drive hawker centre,informational,227,,,,,,,,27,9.64,4.11,3.87,45.8,2
kuala lumpur food tours,tour_geo,223,,,,,,,,43,20.43,6.27,4.12,55.2,0
malaysia food souvenir,other,216,0.34,16,49.15,12.35,2.72,33.3,0,43,13.58,4.17,2.38,37.5,3
food tasting,other,213,0.98,18,8.47,7.71,7.4,66.7,0,35,7.04,7.54,4.95,50.0,0
best food souvenirs in malaysia,informational,212,0.87,22,40.33,8.64,6.0,50.0,0,17,17.89,7.51,,,0
durian season malaysia 2026,informational,203,,,,,,,,39,5.32,1.95,1.57,12.1,3
raya food,other,189,,41,10.31,6.77,4.6,33.3,0,,,,,,
penang food,other,186,0.9,13,45.88,21.24,43.5,100.0,0,37,40.19,19.02,15.34,82.4,0
type of durian in malaysia,informational,182,,,,,,,,41,7.32,2.28,1.81,28.6,2
simply enak food tours,branded,181,,17,1,0.0,0,0.0,48,30,1.23,1.0,0.61,9.1,65
durians,informational,173,,,,,,,,35,9.2,2.76,2.28,35.0,0
food tours penang,tour_geo,166,2.39,14,8.78,7.77,19.12,100.0,0,22,23.73,18.57,17.81,75.0,3
